################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  6.6207933205999936E-02 a         1     0     1     1     1
  1.3104135669481121E-01 a         2     0     1     1     2
  3.0183085276360697E-02 a         3     0     1     1     3
  1.0272245630006824E-01 a         4     0     1     1     4
 -6.3498608974798004E-02 a         5     0     1     1     5
  2.3902814027928720E-02 a         6     0     1     1     6
 -5.3215157404957920E-02 a         7     0     1     1     7
  9.0637404650826883E-02 a         8     0     1     1     8
 -4.7715021124672456E-02 a         9     0     1     1     9
  1.5951759593086501E-01 a        10     0     1     1    10
  9.1887185324968285E-02 a        11     0     1     1    11
  5.7718089364843128E-02 a        12     0     1     1    12
  2.6264378981625902E-01 a        13     0     1     1    13
  1.1267204213322178E-01 a        14     0     1     1    14
  1.9074262784832036E-01 a        15     0     1     1    15
 -2.3812141663389566E-01 a        16     0     1     1    16
 -5.8241458751135226E-03 a        17     0     1     1    17
 -2.5980051164103568E-02 a        18     0     1     1    18
  1.6260900464319081E-01 a        19     0     1     1    19
 -1.7622290212922817E-02 a        20     0     1     1    20
  6.0520271599164781E-02 a        21     0     2     1     1
 -5.6571692988117678E-02 a        22     0     2     1     2
  9.1398105732059379E-02 a        23     0     2     1     3
  7.8840991017700687E-02 a        24     0     2     1     4
 -1.7015659540369910E-01 a        25     0     2     1     5
  1.0124716807466647E-01 a        26     0     2     1     6
  9.3393551401226585E-02 a        27     0     2     1     7
  8.3713282503838735E-02 a        28     0     2     1     8
 -1.3289878748564637E-01 a        29     0     2     1     9
  1.4216588965035520E-01 a        30     0     2     1    10
  1.1190826733678967E-01 a        31     0     2     1    11
  6.7796060705059100E-02 a        32     0     2     1    12
  2.9532230535735107E-03 a        33     0     2     1    13
 -9.5399152467102899E-02 a        34     0     2     1    14
 -5.5460375588775443E-03 a        35     0     2     1    15
 -1.2230188549629104E-01 a        36     0     2     1    16
 -1.0199747192944685E-01 a        37     0     2     1    17
  1.3529602420717213E-01 a        38     0     2     1    18
 -8.5755412236511785E-02 a        39     0     2     1    19
 -2.7704221053032481E-03 a        40     0     2     1    20
  5.1623569425492988E-01 a        41     0     3     1     1
  1.3216834630365606E-01 a        42     0     3     1     2
  3.5544260711155636E-02 a        43     0     3     1     3
  2.4239102049458483E-01 a        44     0     3     1     4
 -2.7563093254134097E-01 a        45     0     3     1     5
 -2.6284670399656407E-01 a        46     0     3     1     6
 -1.7815078619359945E-01 a        47     0     3     1     7
 -9.9297810844835702E-02 a        48     0     3     1     8
 -1.8826081604648692E-01 a        49     0     3     1     9
  2.5245072776835903E-01 a        50     0     3     1    10
 -5.1640536788739227E-02 a        51     0     3     1    11
  3.2844261963234857E-03 a        52     0     3     1    12
  6.6580718605590006E-02 a        53     0     3     1    13
  1.6171926908525311E-01 a        54     0     3     1    14
  1.1812789522792146E-01 a        55     0     3     1    15
  6.7673440701161880E-02 a        56     0     3     1    16
  3.0876756569837993E-01 a        57     0     3     1    17
 -2.3378718375770252E-01 a        58     0     3     1    18
  2.0888270972167952E-01 a        59     0     3     1    19
 -2.5741898890473381E-03 a        60     0     3     1    20
  9.1312549410401581E-02 a        61     0     4     1     1
 -2.1626908033821529E-01 a        62     0     4     1     2
  1.9089449342194911E-01 a        63     0     4     1     3
  1.6563385125313024E-01 a        64     0     4     1     4
  1.6286551911789945E-01 a        65     0     4     1     5
 -1.7426398862860567E-02 a        66     0     4     1     6
 -3.6861788334898336E-03 a        67     0     4     1     7
  1.7390956361759004E-02 a        68     0     4     1     8
 -7.1080787341757809E-02 a        69     0     4     1     9
 -9.2366880207404370E-02 a        70     0     4     1    10
  3.1393234000736500E-02 a        71     0     4     1    11
 -1.3145457023275364E-01 a        72     0     4     1    12
 -2.7523025660908730E-02 a        73     0     4     1    13
 -2.0244727518335531E-02 a        74     0     4     1    14
 -7.6701501730062432E-02 a        75     0     4     1    15
  2.0719183714895018E-01 a        76     0     4     1    16
 -6.9656736510671932E-02 a        77     0     4     1    17
 -1.1625728079516932E-01 a        78     0     4     1    18
  7.8133535291909431E-02 a        79     0     4     1    19
 -1.5499643738659120E-02 a        80     0     4     1    20
 -1.6310089220206120E-01 a        81     0     5     1     1
  8.1060107291275982E-02 a        82     0     5     1     2
 -9.7474188047150509E-02 a        83     0     5     1     3
 -2.7361128091704056E-02 a        84     0     5     1     4
  1.7549938780900953E-01 a        85     0     5     1     5
 -4.2430662744494516E-02 a        86     0     5     1     6
 -8.4410415454450799E-02 a        87     0     5     1     7
 -2.1642148113194035E-01 a        88     0     5     1     8
  1.6386790938709159E-01 a        89     0     5     1     9
 -2.1717393349740596E-01 a        90     0     5     1    10
  3.3688012490415142E-02 a        91     0     5     1    11
 -8.6530745161959952E-02 a        92     0     5     1    12
 -1.9764687586463267E-01 a        93     0     5     1    13
 -3.2933993955834528E-01 a        94     0     5     1    14
  3.9241691241036936E-02 a        95     0     5     1    15
  1.9917995991850851E-01 a        96     0     5     1    16
  2.1477527566687085E-01 a        97     0     5     1    17
 -1.3777748698505385E-01 a        98     0     5     1    18
 -6.5086240363088479E-02 a        99     0     5     1    19
  1.5828307540937167E-01 a       100     0     5     1    20
  1.6185628562156784E-01 a       101     0     6     1     1
  5.6859460344927816E-02 a       102     0     6     1     2
  5.7643973866999812E-03 a       103     0     6     1     3
  3.2945403902822370E-03 a       104     0     6     1     4
  1.4901058448846333E-01 a       105     0     6     1     5
 -1.0129699015222092E-01 a       106     0     6     1     6
 -6.2617766527610336E-02 a       107     0     6     1     7
 -2.0570415417486040E-02 a       108     0     6     1     8
 -6.1255935397948311E-02 a       109     0     6     1     9
 -8.0192264431963048E-02 a       110     0     6     1    10
  2.1893957069205219E-01 a       111     0     6     1    11
 -1.0344343105439391E-01 a       112     0     6     1    12
 -1.4367183330740915E-01 a       113     0     6     1    13
  1.7990186569563321E-01 a       114     0     6     1    14
  1.8997850396965658E-02 a       115     0     6     1    15
  3.0361470899209275E-01 a       116     0     6     1    16
  9.5836919440221144E-02 a       117     0     6     1    17
  1.3175594342835198E-01 a       118     0     6     1    18
 -1.6912825309073051E-01 a       119     0     6     1    19
 -1.1225881266316346E-02 a       120     0     6     1    20
 -5.9579608460829903E-01 a       121     0     7     1     1
 -8.8163671443434941E-02 a       122     0     7     1     2
 -1.2754178480729142E-01 a       123     0     7     1     3
 -3.0086959750647640E-01 a       124     0     7     1     4
  7.7346154126628999E-02 a       125     0     7     1     5
  2.2361361974833988E-01 a       126     0     7     1     6
 -2.1822591100166626E-03 a       127     0     7     1     7
  1.0793111302663369E-01 a       128     0     7     1     8
  9.9649030045877426E-02 a       129     0     7     1     9
 -2.6126930458582703E-01 a       130     0     7     1    10
  2.3100222194658476E-01 a       131     0     7     1    11
 -2.8107280307964383E-01 a       132     0     7     1    12
  8.4695181563791092E-02 a       133     0     7     1    13
 -4.6474249750538105E-01 a       134     0     7     1    14
 -1.1136920416898419E-01 a       135     0     7     1    15
 -9.4719772160901383E-03 a       136     0     7     1    16
 -4.9526393264302460E-01 a       137     0     7     1    17
  9.3071999616951510E-03 a       138     0     7     1    18
 -1.2064330901734259E-01 a       139     0     7     1    19
  2.4630990059696695E-01 a       140     0     7     1    20
 -9.2397224855204088E-02 a       141     0     8     1     1
 -2.2982696702199862E-01 a       142     0     8     1     2
 -2.2271635269231196E-01 a       143     0     8     1     3
 -1.9110429601413004E-01 a       144     0     8     1     4
 -1.5333315059201347E-01 a       145     0     8     1     5
  2.4239393902356970E-01 a       146     0     8     1     6
  4.5441010577648031E-02 a       147     0     8     1     7
 -1.8685042400035939E-01 a       148     0     8     1     8
 -6.8328845952137146E-02 a       149     0     8     1     9
