################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -9.8317172461044860E-03 a         1     0     1     1     1
  1.5134336409433471E-01 a         2     0     1     1     2
 -1.4350861001285123E-01 a         3     0     1     1     3
 -8.1919312034418407E-02 a         4     0     1     1     4
  3.7743549610284852E-02 a         5     0     1     1     5
 -1.5174694063147975E-01 a         6     0     1     1     6
  1.0980041652088754E-01 a         7     0     1     1     7
  6.2289952132106433E-02 a         8     0     1     1     8
  3.5695609207912871E-01 a         9     0     1     1     9
 -2.1270084745631374E-01 a        10     0     1     1    10
  2.5514358227604628E-01 a        11     0     1     1    11
 -3.4874479066961284E-02 a        12     0     1     1    12
  9.6869648647320727E-02 a        13     0     1     1    13
 -2.7298638030299111E-01 a        14     0     1     1    14
  4.0150057911340312E-02 a        15     0     1     1    15
  1.3546181814767866E-01 a        16     0     1     1    16
 -5.7329131627313908E-02 a        17     0     1     1    17
 -1.8898898739621164E-01 a        18     0     1     1    18
 -1.0301935170288232E+00 a        19     0     1     1    19
  6.2935906238887368E-02 a        20     0     1     1    20
 -1.9373930441931964E-01 a        21     0     2     1     1
  2.9631693590910313E-01 a        22     0     2     1     2
  3.1276926500431945E-01 a        23     0     2     1     3
 -1.1085385070293358E-01 a        24     0     2     1     4
 -1.9630917463294209E-01 a        25     0     2     1     5
 -1.3940040651167881E-01 a        26     0     2     1     6
  5.2766046858305854E-02 a        27     0     2     1     7
  1.7009667993426311E-01 a        28     0     2     1     8
 -3.3228773403083757E-02 a        29     0     2     1     9
 -1.1264044142892117E-02 a        30     0     2     1    10
  1.9968517435667906E-02 a        31     0     2     1    11
  5.5752982434998689E-02 a        32     0     2     1    12
 -2.5594185810084595E-02 a        33     0     2     1    13
  1.0761520008273526E-01 a        34     0     2     1    14
  2.7059312665031293E-01 a        35     0     2     1    15
  2.6119721650919864E-01 a        36     0     2     1    16
  1.2082480803612308E-01 a        37     0     2     1    17
 -8.2739178358712029E-02 a        38     0     2     1    18
  1.6101244753896134E-02 a        39     0     2     1    19
 -9.1023977109781551E-02 a        40     0     2     1    20
  1.0675719871179552E-01 a        41     0     3     1     1
  2.1657597172173004E-01 a        42     0     3     1     2
 -1.2977483031425033E-01 a        43     0     3     1     3
  2.8731598511108958E-01 a        44     0     3     1     4
 -2.3310656177301745E-01 a        45     0     3     1     5
  1.6803070272180951E-01 a        46     0     3     1     6
  6.4617370764519777E-01 a        47     0     3     1     7
 -4.3162097913907738E-01 a        48     0     3     1     8
 -3.8274365325467952E-01 a        49     0     3     1     9
  4.8492437400376606E-02 a        50     0     3     1    10
  4.4941856182741595E-02 a        51     0     3     1    11
  3.8597039307280895E-01 a        52     0     3     1    12
 -9.5502646549844306E-02 a        53     0     3     1    13
 -2.8706592487680954E-01 a        54     0     3     1    14
  1.3239078162278209E-01 a        55     0     3     1    15
 -1.1467106026019330E-01 a        56     0     3     1    16
  5.6475039289516159E-02 a        57     0     3     1    17
  1.9872546264142019E-01 a        58     0     3     1    18
  2.0332883693332307E-01 a        59     0     3     1    19
  3.7607340259101105E-02 a        60     0     3     1    20
 -6.8835946848167032E-02 a        61     0     4     1     1
 -4.2091640192230065E-02 a        62     0     4     1     2
  4.7786036802208547E-02 a        63     0     4     1     3
  1.3058036704942291E-01 a        64     0     4     1     4
  9.5524891632149028E-02 a        65     0     4     1     5
 -3.3642122655793838E-01 a        66     0     4     1     6
  2.1091566876321408E-01 a        67     0     4     1     7
  1.0747040839873856E-01 a        68     0     4     1     8
 -4.0773777627993740E-01 a        69     0     4     1     9
 -1.1437000747400383E-01 a        70     0     4     1    10
  1.6303828240637810E-01 a        71     0     4     1    11
  5.9145675219757554E-01 a        72     0     4     1    12
  3.0793072408310435E-02 a        73     0     4     1    13
  3.6785155603032060E-01 a        74     0     4     1    14
  3.5754326431670014E-01 a        75     0     4     1    15
  9.8372268597529608E-02 a        76     0     4     1    16
 -1.1631106657421941E-01 a        77     0     4     1    17
  3.6773566926825152E-01 a        78     0     4     1    18
 -6.8390542748671707E-02 a        79     0     4     1    19
  1.1124472855276954E-01 a        80     0     4     1    20
  3.4210175357462971E-02 a        81     0     5     1     1
 -2.0879918342469403E-01 a        82     0     5     1     2
 -9.5190473991701038E-02 a        83     0     5     1     3
  1.0954349224239507E-01 a        84     0     5     1     4
