################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  6.7051448564008548E-02 a         1     0     1     1     1
  2.0143503690042372E-01 a         2     0     1     1     2
  2.9067670902985904E-01 a         3     0     1     1     3
 -2.5469814067731378E-01 a         4     0     1     1     4
 -4.4000930626581974E-02 a         5     0     1     1     5
  6.4307851315236669E-02 a         6     0     1     1     6
  1.6298712768230847E-01 a         7     0     1     1     7
  2.6257022199713931E-01 a         8     0     1     1     8
 -2.7179988460372451E-01 a         9     0     1     1     9
  3.1031134362260215E-01 a        10     0     1     1    10
 -2.4007361183774243E-03 a        11     0     1     1    11
 -2.3689614280924101E-01 a        12     0     1     1    12
 -7.6049193059579176E-02 a        13     0     1     1    13
  2.2121644480395192E-02 a        14     0     1     1    14
  8.2012194425948592E-03 a        15     0     1     1    15
 -2.6747153670623242E-01 a        16     0     1     1    16
 -2.8971454393828566E-01 a        17     0     1     1    17
  1.4993514841429509E-01 a        18     0     1     1    18
 -1.2849744057260917E-01 a        19     0     1     1    19
  2.0851414010822658E-01 a        20     0     1     1    20
 -8.9678330476545443E-02 a        21     0     2     1     1
 -5.0652508105140173E-02 a        22     0     2     1     2
  3.0004117854246223E-02 a        23     0     2     1     3
  1.2991109311557711E-01 a        24     0     2     1     4
 -1.5011060322668419E-02 a        25     0     2     1     5
  4.5758363237015764E-02 a        26     0     2     1     6
  1.4723977119633289E-01 a        27     0     2     1     7
 -1.0384713380003724E-01 a        28     0     2     1     8
 -4.7746507013921857E-02 a        29     0     2     1     9
 -5.9930990929437947E-02 a        30     0     2     1    10
 -7.6097693474342837E-02 a        31     0     2     1    11
  1.1332619310726594E-01 a        32     0     2     1    12
  4.9806752840524028E-02 a        33     0     2     1    13
  1.2771690126951493E-01 a        34     0     2     1    14
 -1.5000467688690211E-01 a        35     0     2     1    15
 -4.7602968007881552E-02 a        36     0     2     1    16
  3.4109800143061510E-02 a        37     0     2     1    17
  1.3401971771436003E-01 a        38     0     2     1    18
 -7.4744073424582030E-02 a        39     0     2     1    19
  4.7999295032454176E-02 a        40     0     2     1    20
 -1.0478510521573993E-01 a        41     0     3     1     1
  1.1051204735887846E-01 a        42     0     3     1     2
  2.4665961635837333E-01 a        43     0     3     1     3
 -1.8339055325436826E-01 a        44     0     3     1     4
 -1.5277631413486734E-01 a        45     0     3     1     5
  1.0639135696223563E-01 a        46     0     3     1     6
 -3.0121292410855605E-01 a        47     0     3     1     7
  4.4429231396763767E-02 a        48     0     3     1     8
  4.7225727271233177E-02 a        49     0     3     1     9
 -1.0865276952583244E-01 a        50     0     3     1    10
 -3.6325704256628449E-01 a        51     0     3     1    11
 -6.4435404099728130E-02 a        52     0     3     1    12
  3.1559877435295347E-03 a        53     0     3     1    13
  1.9009639589239863E-01 a        54     0     3     1    14
 -3.9670807045200401E-02 a        55     0     3     1    15
  2.5812496247502620E-01 a        56     0     3     1    16
 -3.0851994690269846E-01 a        57     0     3     1    17
 -1.8389276587057368E-01 a        58     0     3     1    18
 -5.5327441180547013E-02 a        59     0     3     1    19
  1.9882119236887918E-01 a        60     0     3     1    20
  4.0546128186534197E-01 a        61     0     4     1     1
  2.5575952499515892E-01 a        62     0     4     1     2
  2.4527249583418542E-01 a        63     0     4     1     3
  1.5161205370127377E-02 a        64     0     4     1     4
 -1.8511341395269418E-01 a        65     0     4     1     5
  2.1234401525816154E-01 a        66     0     4     1     6
 -1.7224280408916657E-03 a        67     0     4     1     7
 -3.7428118524296045E-01 a        68     0     4     1     8
  3.3366363051550241E-01 a        69     0     4     1     9
 -1.5964298410452180E-01 a        70     0     4     1    10
  8.7905004729430233E-02 a        71     0     4     1    11
  5.9631082034524774E-01 a        72     0     4     1    12
  1.6637581537026699E-02 a        73     0     4     1    13
  3.2904728855237292E-01 a        74     0     4     1    14
 -7.3085635766783383E-02 a        75     0     4     1    15
 -4.5960471273558523E-01 a        76     0     4     1    16
  2.3053598346476897E-01 a        77     0     4     1    17
  3.2743694105699356E-01 a        78     0     4     1    18
  5.5434935996143811E-02 a        79     0     4     1    19
 -3.0649316802179338E-01 a        80     0     4     1    20
 -1.7518339317782908E-01 a        81     0     5     1     1
 -2.0224696243254131E-01 a        82     0     5     1     2
  5.3188134101304747E-02 a        83     0     5     1     3
  9.8432415888164371E-02 a        84     0     5     1     4
