################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   1.5689037055265049E-02   7.2688191493093829E-02   3.4047183296519984E-02   6.3070471937511606E-03
         1          2   1.1163522767380350E-01   2.0117215330841612E-01   1.6002715325015304E-01   8.7436960002241215E-03
         1          3   0.0000000000000000E+00   6.3533857738922769E-02   6.3016394129058464E-04   3.8838259852664284E-03
         1          4   1.1732386490337782E-01   3.8032179260394844E-01   1.9857320521683827E-01   2.9039465986263460E-02
         1          5   2.8494440209609728E-01   4.9882488999537039E-01   3.7062408405503816E-01   3.1563808428062917E-02
         1          6   0.0000000000000000E+00   2.1918798949821350E-01   3.6301474605169720E-03   1.9975291895804277E-02
         1          7   2.8650861984640674E-01   1.0616073255730678E+00   5.7106937760285359E-01   9.5842865928889229E-02
         1          8   2.4016145418173943E-01   6.4587024352211475E-01   4.2202319393011362E-01   6.5159064714052417E-02
         1          9   0.0000000000000000E+00   2.7818451619113144E-01   8.6180630067778218E-03   4.1492640965947299E-02
         1         10   3.9423144272887167E-01   1.6710430045088442E+00   1.0015547662981206E+00   1.5702736815128635E-01
         1         11   1.1175695481129334E-01   8.3134128346077774E-01   4.1623791290021450E-01   7.3332683432055137E-02
         1         12   0.0000000000000000E+00   2.0536149626948771E-01   1.0247832805793829E-02   3.8083564067841899E-02
         1         13   5.8091982922040042E-01   1.9228365360172024E+00   1.2248545395537733E+00   1.7251404376111942E-01
         1         14   1.9295913775111920E-01   9.8959157814833809E-01   5.4580260639562972E-01   1.0537183221603749E-01
         1         15   0.0000000000000000E+00   1.4053620444115450E-01   9.9164146673208393E-03   2.7144870297214165E-02
         1         16   6.2599909550512334E-01   1.7308591756425262E+00   1.1626892835876201E+00   1.4388997044686724E-01
         1         17   3.0149183879480451E-01   9.2589788313673527E-01   6.2087965164177095E-01   8.2931485746079725E-02
         1         18   0.0000000000000000E+00   8.7157858809454924E-02   9.4322742751844855E-03   2.2475261582994056E-02
         1         19   5.6267847136072846E-01   1.2079469236715670E+00   8.8065164901967574E-01   8.5612377796065717E-02
         1         20   2.6831603360541945E-01   6.7744467144932041E-01   4.6211344899061008E-01   5.5833087574971130E-02
         1         21   0.0000000000000000E+00   4.7416600825931479E-02   6.8979751141525474E-03   1.3704644072914725E-02
         1         22   3.2050763889391221E-01   6.6099637787200016E-01   4.8909827277428569E-01   4.4971798646612333E-02
         1         23   1.3063436322371461E-01   3.5911365882039487E-01   2.3948680591938237E-01   3.0146170005772334E-02
         1         24   0.0000000000000000E+00   2.1564619679016628E-02   3.7296162404027249E-03   6.5267447155886293E-03
         1         25   1.0894993757410525E-01   2.6058002058097440E-01   1.8782296015070449E-01   1.7871586868757377E-02
         1         26   4.5586641265976488E-02   1.4134946683723648E-01   9.1259963042194137E-02   1.2384555269208269E-02
         1         27   0.0000000000000000E+00   7.6310779965563114E-03   1.4709430598415583E-03   2.4218585591420797E-03
         1         28   2.9288659917291113E-02   6.9155606666116157E-02   4.6728833706809067E-02   4.8070510272950045E-03
         1         29   9.9482427925674192E-03   3.8146397968204619E-02   2.3313936636941077E-02   3.5374300415933588E-03
         1         30   0.0000000000000000E+00   1.8969641462221101E-03   3.7788001894310282E-04   6.1976970391968832E-04
         1         31   6.3578490334761989E-03   7.1056541686540159E-02   2.6639952625580977E-02   7.4372098413655243E-03
         1         32   1.5861118522823413E-02   1.1496643357453781E-01   4.8026510379941094E-02   1.1015037765407255E-02
         1         33   0.0000000000000000E+00   3.4756295551311954E-02   8.3672283269763332E-04   3.5238731187176350E-03
         1         34   2.6267427252378611E-03   3.9962706324760171E-02   1.6857457039985643E-02   4.6409709795933217E-03
         1         35   0.0000000000000000E+00   2.7781986087530956E-02   7.7622019206838799E-04   3.2735354465184734E-03
         1         36   2.1758961919325900E-02   1.4676940334449662E-01   7.0433567515645584E-02   1.5688884684010872E-02
         1         37   8.7813659978553921E-02   3.0541815443816817E-01   1.7401890262387817E-01   2.4898111182850721E-02
         1         38   0.0000000000000000E+00   6.3766365487518684E-02   2.5527582470670257E-03   8.2189209757800360E-03
         1         39   5.3148895384094817E-03   3.6737828245747506E-02   1.6261013740914359E-02   3.5465745728790630E-03
         1         40   0.0000000000000000E+00   1.4673373176797781E-02   7.0206343542874433E-04   1.9229956738250188E-03
         1         41   4.7621535893947400E-04   1.6294375178961758E-02   4.9598104002088134E-03   1.7441637606707121E-03
         1         42   1.1149697425341400E-03   3.1622203221146603E-02   1.3948947863786946E-02   4.4345642158067919E-03
         1         43   0.0000000000000000E+00   1.3528856656474499E-02   2.4535326847168414E-04   1.2425738598131732E-03
         1         44   2.6373227951073436E-04   2.1703468758512128E-02   9.1562813929111486E-03   3.7336967579123313E-03
         1         45   0.0000000000000000E+00   2.3619406342006512E-02   5.0316838321433073E-04   2.5321509532165417E-03
         1         46   1.4051703585432753E-02   7.5778328516447446E-02   3.9295755146856765E-02   7.8836800182408573E-03
         1         47   6.0690767856279207E-02   1.9210155707899576E-01   1.2173186104862080E-01   1.5743614165524843E-02
         1         48   0.0000000000000000E+00   3.6412442249273633E-02   1.6551381174014271E-03   4.9787450228059114E-03
         1         49   2.3374047469065752E-03   1.3366468490944966E-02   6.9354755648480199E-03   1.3940659868645097E-03
         1         50   0.0000000000000000E+00   5.7984101657052719E-03   3.3344739215281739E-04   8.5647014884141393E-04
