################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.9056244433595364E-02 a         1     0     1     1     1
 -1.7020920686814514E-01 a         2     0     1     1     2
 -9.1399619185917935E-02 a         3     0     1     1     3
 -2.3814534606580645E-01 a         4     0     1     1     4
 -1.5040786764397723E-02 a         5     0     1     1     5
  2.4906386705175618E-01 a         6     0     1     1     6
  2.1019856215225358E-02 a         7     0     1     1     7
  1.2279972382878440E-01 a         8     0     1     1     8
 -1.0992444404125798E-01 a         9     0     1     1     9
 -8.6428644794515730E-02 a        10     0     1     1    10
 -6.4760461618032270E-02 a        11     0     1     1    11
 -2.4236460376555036E-01 a        12     0     1     1    12
 -1.3625343827140071E-01 a        13     0     1     1    13
 -2.4686704505526014E-01 a        14     0     1     1    14
  2.0803349285104723E-02 a        15     0     1     1    15
  1.4692566169156504E-01 a        16     0     1     1    16
  1.5985221110032249E-01 a        17     0     1     1    17
  8.9126366234018484E-02 a        18     0     1     1    18
  3.0142481575017772E-02 a        19     0     1     1    19
  1.7963943672219936E-02 a        20     0     1     1    20
 -8.4857607097015161E-02 a        21     0     2     1     1
 -1.5363324502617480E-02 a        22     0     2     1     2
  1.7484014941869658E-02 a        23     0     2     1     3
 -4.2579194169306653E-02 a        24     0     2     1     4
  1.1358536101772861E-01 a        25     0     2     1     5
 -3.5138395178488706E-02 a        26     0     2     1     6
 -1.5888089205537984E-01 a        27     0     2     1     7
 -1.6072160835234781E-01 a        28     0     2     1     8
  1.7371592491222426E-01 a        29     0     2     1     9
  8.4032717543039731E-02 a        30     0     2     1    10
 -2.9618054162604542E-02 a        31     0     2     1    11
 -1.3677132277918884E-02 a        32     0     2     1    12
 -8.6296279224096037E-02 a        33     0     2     1    13
  1.5604453058980050E-01 a        34     0     2     1    14
  1.6981721119777433E-02 a        35     0     2     1    15
  7.1455396645987129E-02 a        36     0     2     1    16
 -4.6396554101083343E-02 a        37     0     2     1    17
 -2.1774715861720986E-02 a        38     0     2     1    18
 -1.2199120031725044E-01 a        39     0     2     1    19
 -1.2192343471195839E-02 a        40     0     2     1    20
  2.0158480772680044E-02 a        41     0     3     1     1
 -7.8255742647274487E-02 a        42     0     3     1     2
 -1.8444130941105830E-01 a        43     0     3     1     3
 -1.7319304781157810E-01 a        44     0     3     1     4
 -8.6695859367196572E-03 a        45     0     3     1     5
  1.7413610999090126E-01 a        46     0     3     1     6
  1.7611626717274054E-01 a        47     0     3     1     7
 -9.8561848375409815E-03 a        48     0     3     1     8
 -1.8598002868504515E-01 a        49     0     3     1     9
 -8.2598721958819787E-02 a        50     0     3     1    10
  1.0002698418535769E-01 a        51     0     3     1    11
 -4.4507922905202904E-02 a        52     0     3     1    12
 -1.1926598522448588E-02 a        53     0     3     1    13
  1.3577916576171284E-01 a        54     0     3     1    14
 -4.4631979034088526E-02 a        55     0     3     1    15
 -1.8492956869216567E-01 a        56     0     3     1    16
  1.5623960957209124E-01 a        57     0     3     1    17
 -6.7624894941930705E-02 a        58     0     3     1    18
 -8.0472599304245076E-03 a        59     0     3     1    19
  1.0516367042316821E-01 a        60     0     3     1    20
  1.4857045866849392E-01 a        61     0     4     1     1
  2.4950223922268383E-01 a        62     0     4     1     2
  1.4119590087037534E-01 a        63     0     4     1     3
  5.9114758015414048E-02 a        64     0     4     1     4
  1.5962370059341985E-01 a        65     0     4     1     5
 -3.6614544207161405E-02 a        66     0     4     1     6
 -1.2979657315491031E-01 a        67     0     4     1     7
  1.3969963966086016E-01 a        68     0     4     1     8
 -2.5228893107903477E-01 a        69     0     4     1     9
  1.2978112221131288E-01 a        70     0     4     1    10
 -1.3453114696126389E-01 a        71     0     4     1    11
  1.0488701389692445E-01 a        72     0     4     1    12
 -2.0710026898432135E-01 a        73     0     4     1    13
  1.4654327607560366E-01 a        74     0     4     1    14
  1.2700705121908651E-01 a        75     0     4     1    15
  3.0523464707974018E-01 a        76     0     4     1    16
 -1.8803096097119118E-01 a        77     0     4     1    17
 -9.7183388660464706E-02 a        78     0     4     1    18
 -8.1028859573307119E-02 a        79     0     4     1    19
 -3.7736970951362708E-01 a        80     0     4     1    20
  1.4312059322999776E-01 a        81     0     5     1     1
  1.4906875275068929E-02 a        82     0     5     1     2
  2.9434003048236769E-02 a        83     0     5     1     3
  2.8602918758222746E-02 a        84     0     5     1     4
 -2.3197624884452150E-01 a        85     0     5     1     5
 -1.6433990106709406E-01 a        86     0     5     1     6
 -7.1966721948787629E-02 a        87     0     5     1     7
  6.8577490410768910E-02 a        88     0     5     1     8
  3.0784709293021650E-03 a        89     0     5     1     9
 -5.2513240319378124E-02 a        90     0     5     1    10
 -2.8266580933571728E-01 a        91     0     5     1    11
 -1.7663311041489924E-01 a        92     0     5     1    12
  1.9712944054294251E-01 a        93     0     5     1    13
  3.4820086803870220E-01 a        94     0     5     1    14
  2.0843336044775906E-01 a        95     0     5     1    15
  1.3115933296450547E-01 a        96     0     5     1    16
 -3.6319451053448126E-01 a        97     0     5     1    17
  1.2813381582342456E-01 a        98     0     5     1    18
  4.5736371656846825E-01 a        99     0     5     1    19
  8.9711231286541439E-03 a       100     0     5     1    20
 -6.5579314214595855E-02 a       101     0     6     1     1
 -9.5606020490059063E-02 a       102     0     6     1     2
  1.1111715059323392E-01 a       103     0     6     1     3
  9.8708282289605327E-03 a       104     0     6     1     4
 -1.8925316258537087E-01 a       105     0     6     1     5
 -3.7187350344646243E-02 a       106     0     6     1     6
  1.9672875543323465E-02 a       107     0     6     1     7
  1.6819152637828005E-01 a       108     0     6     1     8
 -2.9633260078412230E-02 a       109     0     6     1     9
  1.0969694157107809E-01 a       110     0     6     1    10
  4.6536690094471436E-03 a       111     0     6     1    11
 -3.8577850002838976E-02 a       112     0     6     1    12
  2.3209392966532563E-01 a       113     0     6     1    13
 -1.4976221908850798E-01 a       114     0     6     1    14
 -1.0017546150016152E-01 a       115     0     6     1    15
 -1.7376080495166538E-01 a       116     0     6     1    16
  1.8365657026232932E-01 a       117     0     6     1    17
 -3.8842397360915430E-02 a       118     0     6     1    18
 -2.0114596517171700E-02 a       119     0     6     1    19
 -2.1203885169617377E-03 a       120     0     6     1    20
 -1.0789527442831863E-01 a       121     0     7     1     1
  4.4115089252970884E-02 a       122     0     7     1     2
 -2.0265726635849659E-02 a       123     0     7     1     3
  1.6057208107829721E-01 a       124     0     7     1     4
  1.3014479812179724E-01 a       125     0     7     1     5
 -1.2356144328924765E-01 a       126     0     7     1     6
  7.7677380046034722E-02 a       127     0     7     1     7
 -2.0648322576487244E-01 a       128     0     7     1     8
  1.5889191484201201E-01 a       129     0     7     1     9
  6.0713351609941443E-02 a       130     0     7     1    10
 -9.5563707928774638E-02 a       131     0     7     1    11
  6.7216909899557614E-02 a       132     0     7     1    12
 -8.8109555706009438E-02 a       133     0     7     1    13
  1.4519316418488157E-01 a       134     0     7     1    14
 -2.1581653859719999E-01 a       135     0     7     1    15
  6.1061829621321360E-02 a       136     0     7     1    16
 -2.3975755753914563E-01 a       137     0     7     1    17
 -2.2227640592134429E-01 a       138     0     7     1    18
 -4.8138153268463962E-02 a       139     0     7     1    19
 -6.3886938449538688E-02 a       140     0     7     1    20
 -4.1554526374727152E-01 a       141     0     8     1     1
 -2.7734575803317990E-01 a       142     0     8     1     2
  1.1610928379610723E-01 a       143     0     8     1     3
  2.0239171960382216E-01 a       144     0     8     1     4
 -1.3298769482733916E-02 a       145     0     8     1     5
 -3.8710182737526869E-02 a       146     0     8     1     6
  3.1045776997823715E-01 a       147     0     8     1     7
  1.7241849355899799E-01 a       148     0     8     1     8
 -1.9757051666264749E-01 a       149     0     8     1     9
  1.4820199775748770E-02 a       150     0     8     1    10
  7.7359195185294537E-03 a       151     0     8     1    11
  6.0591629985420614E-02 a       152     0     8     1    12
 -9.3830586461094795E-02 a       153     0     8     1    13
 -8.4887348654411041E-02 a       154     0     8     1    14
 -3.6016172721697347E-02 a       155     0     8     1    15
 -1.4292174477248079E-01 a       156     0     8     1    16
 -1.1543056557553745E-01 a       157     0     8     1    17
 -7.2383969685381175E-02 a       158     0     8     1    18
  1.4770086127858953E-03 a       159     0     8     1    19
 -2.1515062809827448E-01 a       160     0     8     1    20
 -2.0773711676481307E-01 a       161     0     9     1     1
 -5.2865484919132233E-02 a       162     0     9     1     2
  2.4040591717100576E-01 a       163     0     9     1     3
 -4.0626357474961927E-01 a       164     0     9     1     4
  1.3067868356145389E-02 a       165     0     9     1     5
 -1.7681546234271012E-01 a       166     0     9     1     6
 -8.2358643728763420E-02 a       167     0     9     1     7
 -2.8004264792315775E-01 a       168     0     9     1     8
 -1.2926817186472961E-02 a       169     0     9     1     9
  1.9887136876489173E-01 a       170     0     9     1    10
 -2.2342178785012294E-03 a       171     0     9     1    11
  1.0968729756875976E-01 a       172     0     9     1    12
 -1.3085547176236115E-01 a       173     0     9     1    13
 -1.5993804173958981E-01 a       174     0     9     1    14
 -2.5806048250252572E-01 a       175     0     9     1    15
 -1.0971661951858077E-02 a       176     0     9     1    16
  1.8703292893255247E-02 a       177     0     9     1    17
  2.3962480566809630E-01 a       178     0     9     1    18
  1.5312827039318117E-01 a       179     0     9     1    19
  3.4035592804391876E-02 a       180     0     9     1    20
  9.3930044771741147E-02 a       181     0    10     1     1
 -9.8242951538486015E-02 a       182     0    10     1     2
  1.4090566574488389E-01 a       183     0    10     1     3
  1.3024960281496889E-01 a       184     0    10     1     4
  1.8137142768620745E-01 a       185     0    10     1     5
 -1.5949064883777681E-01 a       186     0    10     1     6
 -5.4901735294269685E-02 a       187     0    10     1     7
  3.4711525517164700E-02 a       188     0    10     1     8
 -1.3638960261145469E-01 a       189     0    10     1     9
  3.5292731580100482E-02 a       190     0    10     1    10
 -3.7989020537538408E-02 a       191     0    10     1    11
 -9.1770917337698057E-02 a       192     0    10     1    12
 -1.1861236703996562E-01 a       193     0    10     1    13
 -1.1952697598728400E-01 a       194     0    10     1    14
  1.7149869288885337E-02 a       195     0    10     1    15
  1.9846719748128079E-02 a       196     0    10     1    16
 -7.4297238340321592E-02 a       197     0    10     1    17
 -9.8761873619981844E-02 a       198     0    10     1    18
  2.9614147463357013E-02 a       199     0    10     1    19
 -1.5021279536419554E-01 a       200     0    10     1    20
  1.2149085803088899E-01 a       201     0    11     1     1
  7.1130396830320519E-02 a       202     0    11     1     2
  9.9252848194494439E-02 a       203     0    11     1     3
  1.6684250174880988E-01 a       204     0    11     1     4
 -2.8135229599887873E-01 a       205     0    11     1     5
 -1.7716704480930001E-01 a       206     0    11     1     6
 -2.7229425337070547E-02 a       207     0    11     1     7
 -2.0805621705031052E-01 a       208     0    11     1     8
 -1.3722701746719901E-01 a       209     0    11     1     9
  2.0715909508436064E-01 a       210     0    11     1    10
  6.5745229910037090E-02 a       211     0    11     1    11
  4.9514410670346218E-03 a       212     0    11     1    12
  2.5409004743779268E-01 a       213     0    11     1    13
 -1.7461301226280204E-01 a       214     0    11     1    14
  5.4906092248005828E-02 a       215     0    11     1    15
 -1.4523990053450986E-01 a       216     0    11     1    16
  1.0861310854296712E-01 a       217     0    11     1    17
  1.1038998102372032E-01 a       218     0    11     1    18
  1.8831945577347159E-01 a       219     0    11     1    19
 -3.0330212260111389E-01 a       220     0    11     1    20
 -9.3919586457398868E-02 a       221     0    12     1     1
  1.2248712748271937E-01 a       222     0    12     1     2
 -2.0757530660250884E-01 a       223     0    12     1     3
 -3.3743907922580690E-01 a       224     0    12     1     4
 -1.2908137067528924E-01 a       225     0    12     1     5
  2.4636475040904765E-01 a       226     0    12     1     6
 -1.6901047619735248E-02 a       227     0    12     1     7
 -8.9858518375649579E-02 a       228     0    12     1     8
 -1.9257654855933124E-03 a       229     0    12     1     9
  1.5980962209854221E-01 a       230     0    12     1    10
  1.4830112753114563E-01 a       231     0    12     1    11
  2.5554379105307817E-01 a       232     0    12     1    12
  1.6601920621422225E-01 a       233     0    12     1    13
 -1.6353830884269061E-02 a       234     0    12     1    14
  6.3982361110031916E-02 a       235     0    12     1    15
 -5.2523931854368412E-02 a       236     0    12     1    16
 -5.4366254068979880E-02 a       237     0    12     1    17
  1.7248171361303155E-01 a       238     0    12     1    18
