################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   1.1038245703235710E-02   8.1379847116501466E-02   3.1566261204269121E-02   7.3127099034516656E-03
         1          2   9.5655799137424155E-02   1.9384705322072468E-01   1.4883604642628878E-01   1.0083813039982603E-02
         1          3   2.2195519343461827E-11   9.1588579186911746E-03   9.3151782242148514E-05   2.8058822712516207E-04
         1          4   2.6248057879312772E-21   1.1862352092121877E-05   5.3048081601429807E-09   1.0363276493655167E-07
         1          5   9.4577556935290186E-02   3.9870484519283317E-01   1.9447321858018779E-01   3.6876340557268787E-02
         1          6   2.7311643195143748E-01   5.0693962659482117E-01   3.5506763051012352E-01   3.1223249986050680E-02
         1          7   9.8795462640969542E-09   7.1352231795848875E-02   1.9502220937018726E-03   3.9566146597784443E-03
         1          8   1.0669095339473247E-17   5.1800039316150792E-04   4.9599345434933943E-07   5.6087353561073014E-06
         1          9   2.6964447353752519E-01   1.1421074624936896E+00   5.8473475428214450E-01   1.2592273479429017E-01
         1         10   2.4109479377332743E-01   6.5926490076716560E-01   4.2266620525816023E-01   7.9020326025151591E-02
         1         11   1.6508934245353962E-06   2.2035948889654805E-01   1.8074315715015880E-02   2.5036525312777998E-02
         1         12   1.5995127265635075E-14   8.3301329574311574E-03   2.1247646722287321E-05   1.2934075320738395E-04
         1         13   3.2062849512900082E-01   1.8763590920473436E+00   1.0491805686685067E+00   2.2851354947330271E-01
         1         14   1.0224321443126183E-01   8.2064058708087506E-01   4.6588978207184795E-01   1.1616988688275520E-01
         1         15   1.0415407661277116E-04   4.5698757160676662E-01   7.7833562421615141E-02   7.4786714915466082E-02
         1         16   8.8473599106368689E-12   4.9659883948652825E-02   4.2314365295419024E-04   1.4207430302907620E-03
         1         17   3.2760819543177538E-01   2.0335226540261093E+00   1.2644963244337168E+00   2.2667672685224954E-01
         1         18   1.4954868460145007E-01   1.0446046882363360E+00   6.0055164020904872E-01   1.2963365921864931E-01
         1         19   2.4597052645489014E-03   4.9101286701800051E-01   1.6802979094215512E-01   1.1074869426330346E-01
         1         20   1.8061210464692576E-09   1.1550558506020844E-01   3.9280721464001259E-03   8.1052132851428902E-03
         1         21   4.5258506416924205E-01   1.6053483313243253E+00   1.0881011980130246E+00   1.3598357755723586E-01
         1         22   2.1817949343292189E-01   8.6467251420501257E-01   5.8818600183543523E-01   8.1696892312618369E-02
         1         23   2.1361685329935189E-02   4.3394505678680684E-01   2.0448272362397651E-01   8.2416756552526602E-02
         1         24   1.3612912672995899E-07   2.1170434339906302E-01   1.7105509568248821E-02   2.3630531008468170E-02
         1         25   4.4646349061198870E-01   1.0065703086526450E+00   7.0849803806833633E-01   6.4661214157142322E-02
         1         26   2.0714983933854755E-01   5.4301130332981973E-01   3.7303220620514094E-01   3.9732355272232858E-02
         1         27   7.4002852969264288E-02   2.8657396932887130E-01   1.6215756881405718E-01   2.9168386901977622E-02
         1         28   3.7896415921990436E-06   1.9655399565581705E-01   3.5733613111466549E-02   3.4328058726622729E-02
         1         29   2.2178366748005404E-01   4.7440637049365358E-01   3.4878913599346106E-01   3.2055835117683944E-02
         1         30   9.0497527050996979E-02   2.5455819207817715E-01   1.6784029814488433E-01   2.2334847279875676E-02
         1         31   5.4562786923801496E-02   1.4165230005852256E-01   9.3773792821272184E-02   1.2012257635078473E-02
         1         32   3.8983320518504481E-05   1.1947606174490913E-01   3.7348444500379011E-02   2.5679957270268779E-02
         1         33   7.5655783295950754E-02   1.8254151181713046E-01   1.2498430621405827E-01   1.2553829711448389E-02
         1         34   2.5021659540216172E-02   9.9208892557428235E-02   5.8960546731736077E-02   8.5945193498612581E-03
         1         35   1.6402515362800872E-02   6.8755504171533907E-02   4.0019155385097809E-02   7.3023426660513684E-03
         1         36   1.4824909773443934E-04   4.6104227916684469E-02   2.0545607599914941E-02   1.0373220351468825E-02
         1         37   1.7357961129098872E-02   4.4164280248499048E-02   2.9986022637577905E-02   3.4090995640807583E-03
         1         38   5.7207745101253071E-03   2.6517987942752352E-02   1.4771886696893678E-02   2.3441045027577452E-03
         1         39   2.8043893391030607E-03   1.9488303536710119E-02   1.1322778151047229E-02   2.3987206589451840E-03
         1         40   2.0852046175450094E-04   1.1577073975111415E-02   6.1183437658349892E-03   2.3024961649511688E-03
         1         41   3.6474565407904696E-03   8.3469628642828003E-02   2.9776929053334702E-02   1.0582543423539179E-02
         1         42   9.2933604845425004E-03   1.2050076667581940E-01   5.2469849875915769E-02   1.6606851149918420E-02
         1         43   2.4620113212949092E-04   1.4668571848921603E-02   3.1554970828898805E-03   2.0474618637662985E-03
         1         44   3.0775452800162076E-08   7.8482208165730116E-04   4.6027640932942236E-05   5.4523042008788788E-05
         1         45   1.6146773935242326E-03   4.2925073160581292E-02   1.7549372349008045E-02   6.3747653624816100E-03
         1         46   1.2667255810764613E-04   1.6019344064834091E-02   3.4552136654958411E-03   2.5699535202413659E-03
         1         47   1.4381656011148881E-08   1.0335390756765243E-03   5.3320578347688592E-05   7.0896975453218410E-05
         1         48   3.6333152430044731E-06   3.2673506320172250E-03   3.3669067045397305E-04   3.6477167395554107E-04
         1         49   8.6790454016153703E-09   1.6887604286510152E-03   7.4391311665491239E-05   1.1501747856033932E-04
         1         50   0.0000000000000000E+00   1.5244891595432512E-04   3.6384971556139832E-06   7.5247914131028980E-06
         1         51   1.6088477483682931E-02   1.7297751787716537E-01   7.9602771062107461E-02   2.0087628049397798E-02
         1         52   7.1720990446497976E-02   3.1932509709169393E-01   1.8139942521827393E-01   3.3290938612565969E-02
         1         53   1.2534307557589500E-03   1.9310651327801721E-02   5.9565981007529568E-03   2.3066172638912734E-03
         1         54   2.3738272055125417E-07   7.1004074383998830E-04   7.4989046827043514E-05   6.8657247844169995E-05
         1         55   5.3493224286803118E-03   3.6578929364108233E-02   1.8675906210551853E-02   4.2039278317132708E-03
         1         56   6.4375191533663269E-04   1.2978162302445147E-02   4.1676780397690415E-03   1.6070211525491039E-03
         1         57   9.6005802560940293E-08   5.1947629217078610E-04   4.5510265270200225E-05   4.1776515784573703E-05
         1         58   2.6659737151202712E-05   6.6705572498538517E-03   1.1165968825806478E-03   9.3421148716023978E-04
         1         59   2.0382896267767764E-07   9.3747766914499334E-03   7.6071603544286483E-04   9.3122569347607782E-04
         1         60   0.0000000000000000E+00   8.6719471320733591E-04   2.6282114052646955E-05   4.7544629677828892E-05
         1         61   2.0523994280458445E-04   1.7509146797909200E-02   4.9183630847929993E-03   2.5243609299182828E-03
         1         62   1.4371560276004206E-04   3.4900450680726579E-02   1.2520508919789590E-02   5.9163220298652170E-03
         1         63   3.8290096776272765E-06   5.9117402993495941E-03   5.6899502537790863E-04   6.2330881786279825E-04
         1         64   1.8423764932965862E-10   3.9877045116142783E-04   6.0980267589443881E-06   1.2848960993248402E-05
         1         65   5.1357495058881757E-05   2.2466315577730336E-02   7.5735373606309851E-03   3.9524625238435227E-03
         1         66   1.8908253404255381E-06   1.0683339480812284E-02   9.7039785448451365E-04   1.2697991999387483E-03
         1         67   8.5260775271801920E-11   9.3010783469202254E-04   1.6675114251650159E-05   3.8190047187425115E-05
         1         68   6.0868208463312308E-09   2.8887904635142928E-04   6.8738326774986102E-06   1.4053521976767784E-05
         1         69   4.2736493874378788E-12   2.5231237705883622E-05   3.4330599095090823E-07   9.1942201194125462E-07
         1         70   0.0000000000000000E+00   1.2960056545686464E-06   1.0802402510625538E-08   3.6707825026851944E-08
         1         71   9.9975367704852151E-03   8.6281139452976371E-02   4.3463637205323986E-02   9.5517356378887718E-03
         1         72   5.2496012960847577E-02   2.0147703273900558E-01   1.2198472929271037E-01   1.9959638797685576E-02
         1         73   6.0692809739916714E-04   9.2007644119844190E-03   2.5385074707473792E-03   8.7731655913427604E-04
         1         74   1.7087565778735559E-07   3.9260453977885178E-04   2.4278981247758347E-05   2.2248673546005887E-05
         1         75   2.6435372625321679E-03   1.3693477333701574E-02   7.2434658667710344E-03   1.3404888136622729E-03
         1         76   2.6796037686534717E-04   5.1718348224741445E-03   1.4206723380849387E-03   5.2594558648596818E-04
         1         77   5.1704312841154967E-08   1.8139550280844055E-04   9.9371395077087044E-06   9.3042444521824404E-06
         1         78   1.8201300341387730E-05   2.4461867195241216E-03   5.3226354028730084E-04   3.8507730441103457E-04
         1         79   1.8039204500890782E-07   6.4290328547005598E-03   5.8554421207922746E-04   6.7915792006560151E-04
         1         80   0.0000000000000000E+00   5.3610052910467790E-04   1.7982577804671735E-05   3.1203599278687783E-05
         2          1   2.3244606387982880E-01   3.7236731601755796E-01   2.9767209285257745E-01   1.5243370446585528E-02
         2          2   7.3934596987807862E-06   9.6698034532890608E-04   1.6363918424353401E-04   1.0251066286024162E-04
         2          3   3.9564302895388877E-10   4.0306153366879153E-04   7.6729688351412163E-06   1.3773595051703577E-05
         2          4   9.1051547592481986E-20   7.1250311754688247E-08   6.6610361136027937E-11   9.8380622402722048E-10
         2          5   5.9869599067153134E-01   9.1730682060452262E-01   7.1013526102024727E-01   4.1120185641498795E-02
         2          6   4.4920923119903957E-04   1.9271828531108516E-02   5.1192169983457483E-03   2.3780861622075731E-03
         2          7   1.1589100305556872E-07   8.1757821316703547E-03   3.5449112185894678E-04   4.4585616120787849E-04
         2          8   2.9122993544443513E-16   8.1156391225565846E-06   1.5084279401406145E-08   1.2628243925083597E-07
         2          9   5.3504782150629859E-01   1.2085833643520425E+00   8.4533241051632046E-01   9.5791506730996193E-02
         2         10   1.0506770756407713E-02   1.5901413505822296E-01   6.3646988161900425E-02   2.0669837970775037E-02
         2         11   1.2705665283770557E-05   6.5817904137718292E-02   6.6212198159094496E-03   5.8057433748581258E-03
         2         12   3.4330483851935549E-13   3.4099752286699791E-04   1.4762334787890525E-06   6.6312113985833950E-06
         2         13   4.2447229649190482E-01   1.4454440365922629E+00   9.3177956414369623E-01   1.3528392481612744E-01
         2         14   9.6749089248577627E-02   5.8184873681445737E-01   3.2242548494771139E-01   6.6898571557121964E-02
         2         15   5.2393201825982926E-04   2.4143405451671368E-01   5.0632753799281956E-02   2.9900484342450327E-02
         2         16   1.4916806926415372E-10   5.3210013846262446E-03   6.1784660669995237E-05   1.5459518171157170E-04
         2         17   5.6068480894134143E-01   1.7686046477728974E+00   1.2011032804180977E+00   1.5091836641788148E-01
