################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   1.2425958219748045E-02   6.8656187165378357E-02   3.1464867065379189E-02   6.3418098803695467E-03
         1          2   1.1785592774839410E-01   1.9435172954277885E-01   1.5568518566626341E-01   8.9067360194659950E-03
         1          3   0.0000000000000000E+00   1.1518302191849230E-03   5.3519594122410007E-06   3.6732254240742398E-05
         1          4   1.0350698940605070E-01   3.8408277267726892E-01   2.0081799383777474E-01   3.1859819932376604E-02
         1          5   3.0476935762175811E-01   5.0470461324808114E-01   3.8532058545127273E-01   3.2567913470582903E-02
         1          6   0.0000000000000000E+00   1.6788322375653076E-02   1.3427507405360472E-04   7.4278800611251661E-04
         1          7   2.6806609298319789E-01   1.0916965340323959E+00   6.1175764455562975E-01   1.0163033657802624E-01
         1          8   2.4510888166031963E-01   6.5559485778007776E-01   4.6553554702017896E-01   5.4259414479255016E-02
         1          9   0.0000000000000000E+00   9.0018197861412005E-02   1.3398980646469687E-03   6.1303237968698696E-03
         1         10   3.0722898758280048E-01   1.6414991118466382E+00   1.0462304009312027E+00   1.5844624048728956E-01
         1         11   1.2796793433558082E-01   7.5239363758490652E-01   4.5234129470728884E-01   7.0128882879842216E-02
         1         12   0.0000000000000000E+00   1.7756552724286559E-01   5.4453763851974599E-03   2.1020886640242941E-02
         1         13   5.4506212470379367E-01   1.9002830219303866E+00   1.2102995603444773E+00   1.7547285285447867E-01
         1         14   2.3706132707491051E-01   9.8708503065698994E-01   5.8202569517456404E-01   1.0827897174300648E-01
         1         15   0.0000000000000000E+00   1.4053618287320249E-01   9.6923723297075073E-03   3.0799821887075370E-02
         1         16   5.9074307693888684E-01   1.7015891835259187E+00   1.1501388600176834E+00   1.4755912767763815E-01
         1         17   3.5443688782663202E-01   9.9894552725817498E-01   6.6172278703320508E-01   8.5872686165494677E-02
         1         18   0.0000000000000000E+00   8.7157852467679195E-02   9.3823054266099406E-03   2.2034241633854434E-02
         1         19   5.3066896468042279E-01   1.2122861723339258E+00   8.9051480937908689E-01   8.9541789892405910E-02
         1         20   2.8894656506532429E-01   7.3806886181686049E-01   4.9079756556066245E-01   5.7709846908501929E-02
         1         21   0.0000000000000000E+00   4.7416600769296380E-02   6.9617684021768935E-03   1.3078042329315845E-02
         1         22   2.8689928552235344E-01   6.6331478328999116E-01   4.9665620258040899E-01   4.5994313820368657E-02
         1         23   1.4135690627490510E-01   3.9178606126311072E-01   2.5650920560880203E-01   3.0183347698094574E-02
         1         24   0.0000000000000000E+00   2.1564619713866480E-02   4.1059874646603147E-03   7.0312751967517356E-03
         1         25   1.1671469577295659E-01   2.6039181895632507E-01   1.9007757685347620E-01   1.7876735397719334E-02
         1         26   5.2252602006412782E-02   1.5669077180089827E-01   9.9094308279597060E-02   1.2954823783985374E-02
         1         27   0.0000000000000000E+00   7.6310779969598367E-03   1.6120316089165015E-03   2.5283757276713223E-03
         1         28   2.8997576678239958E-02   6.6325490910628893E-02   4.7226287642447427E-02   4.8503736793897127E-03
         1         29   1.1038540075686373E-02   4.1653416036924455E-02   2.5411556119812551E-02   3.7084242770242561E-03
         1         30   0.0000000000000000E+00   1.8969642536704864E-03   3.9311003612871640E-04   6.1640560012794820E-04
         1         31   5.4365523877352552E-03   7.3055195119251806E-02   2.8414591036540437E-02   7.8307171288526066E-03
         1         32   1.5797926487610702E-02   1.1497846449098480E-01   5.2368234385933042E-02   1.1291615582055176E-02
         1         33   0.0000000000000000E+00   6.7972047500676931E-03   2.1742808763416612E-04   7.1523587232319799E-04
         1         34   3.2343418026776582E-03   3.9542481084080545E-02   1.9905233583383548E-02   4.3819173922477689E-03
         1         35   0.0000000000000000E+00   9.2262179337251667E-03   2.4581534044389788E-04   8.6550640163043739E-04
         1         36   2.3585347711293298E-02   1.4940776484902285E-01   7.5231003160348350E-02   1.6297922378856265E-02
         1         37   8.9864126195886865E-02   3.0413939316747218E-01   1.8688398854533173E-01   2.5949929332607289E-02
         1         38   0.0000000000000000E+00   1.0253093315405882E-02   4.9560121629722885E-04   1.2673764551431820E-03
         1         39   6.1603745068970345E-03   4.0074094719694267E-02   1.9600514409878381E-02   4.2206892459171865E-03
         1         40   0.0000000000000000E+00   3.2830371739909402E-02   1.2325595333310007E-03   3.9279826107007304E-03
         1         41   3.1842342416058233E-04   1.5059167841713851E-02   5.3750026967626704E-03   1.9212143227373365E-03
         1         42   1.4188653100165975E-03   3.6744150160863367E-02   1.5649923265919730E-02   4.5665060549417592E-03
         1         43   0.0000000000000000E+00   2.5544359024410658E-03   4.3798425926218086E-05   1.7817340146199042E-04
         1         44   6.1711063264580123E-04   2.2796224625819452E-02   1.1158475569693327E-02   3.4242272782537293E-03
         1         45   0.0000000000000000E+00   4.9906671107157958E-03   1.0410610331054103E-04   4.1322360613142451E-04
         1         46   1.4093411860244636E-02   7.7480212445681054E-02   4.2015571523002990E-02   8.2216561837761357E-03
         1         47   6.1240027390873114E-02   1.9691782593422957E-01   1.3046194842490677E-01   1.6709905108890661E-02
         1         48   0.0000000000000000E+00   3.8380528311918317E-03   2.4408495398122373E-04   5.5456345863194936E-04
         1         49   3.1169063997096434E-03   1.7592748156116375E-02   8.6660010464484540E-03   1.7944269723039865E-03
         1         50   0.0000000000000000E+00   2.3504626249192955E-02   9.7836653558886432E-04   3.0982445900561389E-03
         2          1   4.0844695057373477E-05   3.7065367552247913E-01   2.9305446713649574E-01   6.8685953434111838E-02
         2          2   7.7059583812337058E-06   2.5683014601716523E-03   3.6219463389997037E-04   3.2979696997526117E-04
         2          3   0.0000000000000000E+00   4.9112552701567808E-02   1.9961425229843813E-03   8.0440024663223728E-03
         2          4   1.7993478682961899E-03   9.5794248871224252E-01   7.2530933732004277E-01   1.4741485788192837E-01
         2          5   4.9803332411972644E-04   4.4432517323944931E-02   9.2880673962200556E-03   6.0582627972952689E-03
         2          6   0.0000000000000000E+00   1.9180127339816663E-01   9.1807393639961373E-03   3.6806876615713247E-02
         2          7   3.1945194201226067E-02   1.2376235693058806E+00   8.7630220615563081E-01   1.3423809633365738E-01
         2          8   1.2245851334624316E-02   3.0393710219883402E-01   9.3900028974453695E-02   4.0656382825888529E-02
         2          9   0.0000000000000000E+00   2.7555931451130433E-01   1.5621591543357341E-02   6.2273654714082631E-02
         2         10   2.3208812048660976E-01   1.4785616757383215E+00   8.5146596650783779E-01   1.2161791108862911E-01
         2         11   1.0778693687361697E-01   8.7727865169185659E-01   3.8531122414977692E-01   9.7908569962044903E-02
         2         12   0.0000000000000000E+00   1.8310172290966048E-01   1.0419205518362748E-02   3.8896542381706069E-02
         2         13   4.8738843788680275E-01   1.7813581452082086E+00   1.0955777791521200E+00   1.7446237632701433E-01
         2         14   3.3499640006563347E-01   1.1087256683564461E+00   6.9376341412637677E-01   1.0102758478032914E-01
         2         15   0.0000000000000000E+00   1.0485740663957796E-01   5.7866976944242225E-03   1.3310347063539141E-02
         2         16   6.9235851393453429E-01   1.7883209318497240E+00   1.2455958344154447E+00   1.5609173548839186E-01
         2         17   3.7582447261374474E-01   9.9736354199673383E-01   6.6893066022815784E-01   1.0025858088248558E-01
         2         18   0.0000000000000000E+00   8.7140148358498204E-02   7.9111640324089124E-03   1.9012326277537218E-02
         2         19   5.9749838439356506E-01   1.2701771415428682E+00   9.2385424105536484E-01   9.0139522600757652E-02
         2         20   2.4912779267166360E-01   6.8663108165022890E-01   4.7030237182218138E-01   6.1015637009074516E-02
         2         21   0.0000000000000000E+00   4.7416600819203840E-02   7.6320336104003499E-03   1.5442101354986599E-02
         2         22   2.9963242544872781E-01   6.5936343181837598E-01   4.8284085761656842E-01   4.3062635399648004E-02
         2         23   1.5231241347012756E-01   3.7604538140080984E-01   2.6437801326223270E-01   3.1035127511031678E-02
         2         24   0.0000000000000000E+00   2.1564619625702070E-02   4.0790511720043519E-03   6.7690509857630298E-03
         2         25   1.2184214764723443E-01   2.5378149316620791E-01   1.8653046264394743E-01   1.8143801315621357E-02
