################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.2968698333493253E-01 a         1     0     1     1     1
 -4.9795186491577048E-01 a         2     0     1     1     2
  2.7040078499900801E-03 a         3     0     1     1     3
  1.9156333511627616E-01 a         4     0     1     1     4
 -4.8369259194664074E-02 a         5     0     1     1     5
  3.8706338845453997E-01 a         6     0     1     1     6
  3.5900373135893920E-01 a         7     0     1     1     7
  2.9026262759428006E-01 a         8     0     1     1     8
  2.6696139422929821E-01 a         9     0     1     1     9
 -9.5022433288954988E-01 a        10     0     1     1    10
  1.5259739491998440E-02 a        11     0     1     1    11
  6.0692213580593801E-01 a        12     0     1     1    12
 -5.3466418176119201E-01 a        13     0     1     1    13
 -6.6712950117629455E-01 a        14     0     1     1    14
  2.2734512233161555E-01 a        15     0     1     1    15
 -9.6876730187741303E-02 a        16     0     1     1    16
 -8.9598153865201799E-02 a        17     0     1     1    17
  1.7344854994675765E-01 a        18     0     1     1    18
 -2.6779227085637830E-01 a        19     0     1     1    19
  4.7335610139764150E-01 a        20     0     1     1    20
 -3.0772898805152094E-01 a        21     0     2     1     1
 -1.7891537566376972E-01 a        22     0     2     1     2
 -8.3770874364146264E-02 a        23     0     2     1     3
 -1.8533684624024371E-01 a        24     0     2     1     4
  5.7079988694585693E-01 a        25     0     2     1     5
 -1.2707076886221783E-01 a        26     0     2     1     6
 -2.1549881633249329E-01 a        27     0     2     1     7
 -7.6065398154799110E-02 a        28     0     2     1     8
  1.6311830699968521E-01 a        29     0     2     1     9
 -9.9844650452071970E-02 a        30     0     2     1    10
 -2.3454480976127491E-02 a        31     0     2     1    11
  1.7779024779983346E-01 a        32     0     2     1    12
  1.6368443209425310E-01 a        33     0     2     1    13
  2.3602285713921284E-01 a        34     0     2     1    14
 -3.0061300051323037E-01 a        35     0     2     1    15
 -3.4749673915978407E-01 a        36     0     2     1    16
 -7.5309658551183670E-02 a        37     0     2     1    17
  3.1039501674874198E-01 a        38     0     2     1    18
  1.8191540774037793E-01 a        39     0     2     1    19
 -2.3615837012241467E-01 a        40     0     2     1    20
 -2.3436150187683462E-02 a        41     0     3     1     1
 -1.3142501498452777E-01 a        42     0     3     1     2
  1.3823810797647018E-01 a        43     0     3     1     3
  2.2320622433883613E-01 a        44     0     3     1     4
  8.4873988321404664E-02 a        45     0     3     1     5
  1.1116481689378557E-01 a        46     0     3     1     6
 -1.4399894000726826E-01 a        47     0     3     1     7
  2.9452927274283514E-01 a        48     0     3     1     8
 -8.2712977728071291E-02 a        49     0     3     1     9
 -1.5552424344956919E-02 a        50     0     3     1    10
 -2.3084048176521893E-01 a        51     0     3     1    11
  3.0196787428692223E-01 a        52     0     3     1    12
  7.7941699170699301E-06 a        53     0     3     1    13
  7.2649674892596286E-02 a        54     0     3     1    14
 -3.2818926834502865E-01 a        55     0     3     1    15
  4.1362799516336729E-02 a        56     0     3     1    16
 -9.0326133787187166E-02 a        57     0     3     1    17
 -5.7610957452132981E-02 a        58     0     3     1    18
 -7.5603387133112890E-02 a        59     0     3     1    19
  6.8568562410088407E-02 a        60     0     3     1    20
 -1.3276066950273543E-01 a        61     0     4     1     1
  6.0764550516656424E-01 a        62     0     4     1     2
 -8.6376103686995900E-02 a        63     0     4     1     3
  1.3597031179666158E-01 a        64     0     4     1     4
  2.3850689270850087E-01 a        65     0     4     1     5
  9.1106398466383265E-01 a        66     0     4     1     6
 -7.9105643540356471E-02 a        67     0     4     1     7
 -2.6818077259797840E-01 a        68     0     4     1     8
 -1.7593673330261042E-01 a        69     0     4     1     9
  4.4812922766866742E-01 a        70     0     4     1    10
  7.6429457332011341E-02 a        71     0     4     1    11
  2.0472439352154065E-01 a        72     0     4     1    12
 -4.7541077334628597E-02 a        73     0     4     1    13
  5.8914605796442709E-01 a        74     0     4     1    14
 -5.1352140826291492E-01 a        75     0     4     1    15
 -3.2298657606059128E-01 a        76     0     4     1    16
 -1.3692120469827251E-01 a        77     0     4     1    17
  7.3945920765506920E-02 a        78     0     4     1    18
 -7.0690215205144583E-02 a        79     0     4     1    19
 -4.4189507545648943E-01 a        80     0     4     1    20
  3.1546395769597474E-01 a        81     0     5     1     1
  2.7507752495414339E-01 a        82     0     5     1     2
 -3.4642065142297990E-01 a        83     0     5     1     3
  4.6174762888506449E-01 a        84     0     5     1     4
 -4.0720508790951770E-01 a        85     0     5     1     5
  2.3919295095076429E-01 a        86     0     5     1     6
 -9.8164445235750852E-02 a        87     0     5     1     7
  1.3194545182225728E-01 a        88     0     5     1     8
  1.2670505409872823E-01 a        89     0     5     1     9
  3.3331872108809679E-01 a        90     0     5     1    10
 -1.7920371543990604E-01 a        91     0     5     1    11
  8.5386958060110721E-02 a        92     0     5     1    12
 -4.7932041813016871E-02 a        93     0     5     1    13
 -5.3470875748242441E-01 a        94     0     5     1    14
  2.1528045242384738E-01 a        95     0     5     1    15
  6.7325970048098471E-01 a        96     0     5     1    16
 -2.4640395952052632E-01 a        97     0     5     1    17
 -6.2295969017848056E-02 a        98     0     5     1    18
 -4.7598000540639207E-01 a        99     0     5     1    19
  7.1235815587923398E-02 a       100     0     5     1    20
  2.0353236781741174E-01 a       101     0     6     1     1
  2.9429148577929914E-01 a       102     0     6     1     2
 -2.6842751062521952E-01 a       103     0     6     1     3
 -5.4763878661090386E-02 a       104     0     6     1     4
 -1.6596574259034438E-01 a       105     0     6     1     5
 -7.1480442792071816E-02 a       106     0     6     1     6
 -8.4818587741073856E-02 a       107     0     6     1     7
  5.7699523590798121E-02 a       108     0     6     1     8
 -1.2519304783270710E-01 a       109     0     6     1     9
 -3.1591273475881027E-01 a       110     0     6     1    10
  2.7560333405644993E-01 a       111     0     6     1    11
 -3.5122055838799537E-01 a       112     0     6     1    12
 -3.8332688025437839E-01 a       113     0     6     1    13
 -1.4080118402678010E-01 a       114     0     6     1    14
 -1.8967283810757729E-01 a       115     0     6     1    15
 -3.1417223358518870E-01 a       116     0     6     1    16
 -2.5659610877798561E-01 a       117     0     6     1    17
  2.9016063867212216E-01 a       118     0     6     1    18
 -1.8019531203968683E-01 a       119     0     6     1    19
  1.1135552369588490E-01 a       120     0     6     1    20
  1.8216136457073326E-01 a       121     0     7     1     1
  3.8258835306995659E-01 a       122     0     7     1     2
  1.7162091508167021E-01 a       123     0     7     1     3
 -2.4940916564843371E-01 a       124     0     7     1     4
 -1.2729803132909293E-01 a       125     0     7     1     5
 -1.3226107893632770E+00 a       126     0     7     1     6
 -5.2389382851631770E-02 a       127     0     7     1     7
  3.2640443143402570E-01 a       128     0     7     1     8
 -3.5091596483723858E-01 a       129     0     7     1     9
 -2.1873247934310211E-01 a       130     0     7     1    10
 -4.5231660344527203E-01 a       131     0     7     1    11
 -2.2709543483134653E-01 a       132     0     7     1    12
  6.6262455565578715E-01 a       133     0     7     1    13
 -1.4564375813456909E-01 a       134     0     7     1    14
  1.7070862463893866E-01 a       135     0     7     1    15
  2.7622346186102242E-01 a       136     0     7     1    16
  3.5821182604202290E-01 a       137     0     7     1    17
 -3.1598323336981785E-03 a       138     0     7     1    18
  1.4874020032471905E-01 a       139     0     7     1    19
  5.1689383417188373E-01 a       140     0     7     1    20
 -1.5492451779680330E-01 a       141     0     8     1     1
 -3.1089847243527680E-01 a       142     0     8     1     2
  2.2624612665374161E-01 a       143     0     8     1     3
 -1.8923197022720895E-01 a       144     0     8     1     4
  3.5074390507721143E-01 a       145     0     8     1     5
 -1.0673480856815858E-01 a       146     0     8     1     6
 -2.1178055661418740E-01 a       147     0     8     1     7
 -3.6401159606603956E-01 a       148     0     8     1     8
 -1.5197437755154107E-02 a       149     0     8     1     9
 -4.3194355391226019E-01 a       150     0     8     1    10
 -2.8870277476663436E-01 a       151     0     8     1    11
