################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  6.8748298112097553E-02 a         1     0     1     1     1
 -7.2944032975661979E-03 a         2     0     1     1     2
 -1.6468992265445939E-01 a         3     0     1     1     3
  2.2202111523327860E-02 a         4     0     1     1     4
  1.0399606510851589E-01 a         5     0     1     1     5
 -6.9987465710729363E-02 a         6     0     1     1     6
  1.6598869924255188E-01 a         7     0     1     1     7
  1.1414427227828490E-01 a         8     0     1     1     8
  8.2219443695745520E-02 a         9     0     1     1     9
 -1.1594727425613245E-01 a        10     0     1     1    10
 -1.1949432668026827E+00 a        11     0     1     1    11
  3.8750649644963063E-03 a        12     0     1     1    12
 -1.6045798598486233E-02 a        13     0     1     1    13
 -5.5732482912356641E-02 a        14     0     1     1    14
 -2.9199368333362019E-01 a        15     0     1     1    15
  7.4890894353222978E-02 a        16     0     1     1    16
  3.6855475421556941E-02 a        17     0     1     1    17
  4.3502297179215159E-02 a        18     0     1     1    18
  1.1440150968374868E-01 a        19     0     1     1    19
 -2.3447479914116315E-01 a        20     0     1     1    20
  2.2914185912213392E-02 a        21     0     2     1     1
  1.0528049576533657E-01 a        22     0     2     1     2
  1.3747403318064397E-01 a        23     0     2     1     3
  2.7374537752167263E-02 a        24     0     2     1     4
 -2.2582613326427464E-01 a        25     0     2     1     5
 -2.6596588559031625E-01 a        26     0     2     1     6
 -4.4598667492645933E-01 a        27     0     2     1     7
 -1.0910386745429648E-01 a        28     0     2     1     8
 -2.6051387844260843E-01 a        29     0     2     1     9
 -1.5816734211280721E-02 a        30     0     2     1    10
  1.3295664366103499E-01 a        31     0     2     1    11
 -1.7077377695666751E-01 a        32     0     2     1    12
  3.1693605483792936E-01 a        33     0     2     1    13
  4.9474614276929244E-02 a        34     0     2     1    14
  3.4939280038465664E-01 a        35     0     2     1    15
  7.6821217553718832E-02 a        36     0     2     1    16
  2.7332322998819841E-01 a        37     0     2     1    17
 -2.8697630100705751E-02 a        38     0     2     1    18
  2.6361705783600381E-01 a        39     0     2     1    19
  2.5604326022019275E-01 a        40     0     2     1    20
 -1.6970051551513349E-01 a        41     0     3     1     1
 -1.3410480271363238E-02 a        42     0     3     1     2
  1.1453615476533126E-01 a        43     0     3     1     3
 -5.8514607278899296E-02 a        44     0     3     1     4
  1.9588574375421888E-01 a        45     0     3     1     5
  4.5231753573596697E-02 a        46     0     3     1     6
  4.9455512225686664E-02 a        47     0     3     1     7
 -1.9681271975550713E-01 a        48     0     3     1     8
  2.5396566351354989E-02 a        49     0     3     1     9
  1.8631059649332862E-01 a        50     0     3     1    10
  7.5435462402018136E-02 a        51     0     3     1    11
 -5.7448345079810621E-02 a        52     0     3     1    12
 -6.3978848375077044E-02 a        53     0     3     1    13
 -5.8647258914726261E-02 a        54     0     3     1    14
 -8.8234784544655775E-02 a        55     0     3     1    15
  1.0216106071931023E-02 a        56     0     3     1    16
  4.4906256281990228E-02 a        57     0     3     1    17
 -5.5194796296270943E-02 a        58     0     3     1    18
 -6.5036678900930317E-02 a        59     0     3     1    19
 -2.4865792546214874E-01 a        60     0     3     1    20
 -1.0240811551563800E-01 a        61     0     4     1     1
 -3.8570204442091566E-01 a        62     0     4     1     2
  2.6516285233088382E-01 a        63     0     4     1     3
  2.8329995832438910E-02 a        64     0     4     1     4
  3.7542640318466425E-01 a        65     0     4     1     5
  4.1254852427455389E-04 a        66     0     4     1     6
 -4.0422218985851066E-01 a        67     0     4     1     7
 -3.6241359675465851E-01 a        68     0     4     1     8
 -3.2408517800229458E-01 a        69     0     4     1     9
  3.8824618521575383E-01 a        70     0     4     1    10
 -8.2362644056894863E-02 a        71     0     4     1    11
  4.2068094348846098E-02 a        72     0     4     1    12
  6.2955023348564110E-01 a        73     0     4     1    13
  2.4347420829652730E-01 a        74     0     4     1    14
  5.1488896840433307E-01 a        75     0     4     1    15
 -3.5593688905645288E-01 a        76     0     4     1    16
 -1.8483418109440497E-01 a        77     0     4     1    17
  3.2281753346819847E-01 a        78     0     4     1    18
 -3.0914661015548217E-01 a        79     0     4     1    19
