################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   1.3094268598641469E-02   6.5331341894429684E-02   3.2056745538510907E-02   6.4237229233492918E-03
         1          2   1.1737564614126673E-01   1.9500152147184724E-01   1.5558563360519861E-01   9.2028880383155185E-03
         1          3   0.0000000000000000E+00   1.7427417005055066E-03   1.1655255569146906E-05   5.2123399292752862E-05
         1          4   9.5647219345210074E-02   3.7331783513300892E-01   2.0279009182140911E-01   3.3413699522095733E-02
         1          5   2.9721872541230848E-01   5.3457869370037081E-01   3.8237565415102359E-01   3.3861195589094187E-02
         1          6   0.0000000000000000E+00   2.4329894839281916E-02   3.1107867290631786E-04   1.1424077102977688E-03
         1          7   2.4772526857989935E-01   1.0793474996638139E+00   6.1830141688441953E-01   1.1333239765345883E-01
         1          8   2.3292190818878339E-01   7.1474504742585787E-01   4.6779926173930875E-01   6.9482481936665258E-02
         1          9   0.0000000000000000E+00   1.3751207170639787E-01   3.3600748166831554E-03   1.0467045791556861E-02
         1         10   1.7202028648758552E-01   1.8389264614614742E+00   1.0795211325396723E+00   2.1130386695865616E-01
         1         11   6.5475093920172631E-02   9.6810524168787249E-01   4.9047094850347944E-01   1.2420817729869932E-01
         1         12   0.0000000000000000E+00   3.9667965187851034E-01   1.5334313127541794E-02   4.1539442101646729E-02
         1         13   8.5171113663222178E-02   2.0503880241070092E+00   1.2734173825528752E+00   2.7752951332333992E-01
         1         14   9.6399800429253155E-03   1.2676368448164350E+00   6.5481238875153247E-01   1.9197738342708162E-01
         1         15   0.0000000000000000E+00   4.5590385509282888E-01   3.2628201448811366E-02   7.8509398260510468E-02
         1         16   8.6055724324262103E-02   1.8132750191915645E+00   1.1817146598609012E+00   2.6675746698365149E-01
         1         17   1.3608014816198543E-02   1.1401740557191140E+00   7.2241546840464121E-01   1.7829858085972000E-01
         1         18   0.0000000000000000E+00   3.4281158195171779E-01   3.8923220308600619E-02   8.4783276532130927E-02
         1         19   5.2636934200038635E-02   1.3031989379000664E+00   8.7086395009253204E-01   1.9666914875209282E-01
         1         20   2.9782427644713848E-02   8.5703370408896917E-01   5.1742052997292343E-01   1.2149163657115447E-01
         1         21   0.0000000000000000E+00   2.2657267646403742E-01   3.1752540042520407E-02   6.2877137282013551E-02
         1         22   3.0723753826106683E-02   7.0765776454259244E-01   4.6639849063521943E-01   1.0627127886140335E-01
         1         23   2.4614060058889015E-02   4.4142830440565339E-01   2.6298840261435841E-01   6.3170800114800266E-02
         1         24   0.0000000000000000E+00   1.2747012377921152E-01   1.9101751510866492E-02   3.4248039105525235E-02
         1         25   2.0025516410119050E-02   2.7281136664476985E-01   1.7401879335023504E-01   3.9429947855050641E-02
         1         26   1.0643572431902643E-02   1.6860921977192633E-01   1.0074034279451649E-01   2.5904942525619677E-02
         1         27   0.0000000000000000E+00   5.0811692911880459E-02   8.0715050666493419E-03   1.3370162353380202E-02
         1         28   8.9630049270945662E-03   6.9508250576182609E-02   4.2678768067825515E-02   9.6483693841822489E-03
         1         29   4.2950304856063885E-03   4.7809466444802821E-02   2.6149458304752942E-02   7.3529606631422577E-03
         1         30   0.0000000000000000E+00   1.5822725473880455E-02   2.1237041197065551E-03   3.3795494531775687E-03
         1         31   4.0747830042364605E-04   7.9549661653737697E-02   3.0920922693299806E-02   1.0268081830808788E-02
         1         32   4.9175032614291120E-03   1.2052423277276458E-01   5.6253856782716577E-02   1.4910435293654260E-02
